respondent_id,wave,segment,brand,metric,metric_kind,family,value,weight,practical_threshold,measurement_source
W1-0001,2025 Q3,Light category buyers,Northstar,Awareness,binary,Funnel,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Northstar,Familiarity,rating,Funnel,5.3261,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Northstar,Consideration,binary,Funnel,1.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Northstar,Recent usage,binary,Funnel,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Northstar,First-choice loyalty,binary,Funnel,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Northstar,Innovative attribute ownership,binary,Associations,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Northstar,Association favourability,rating,Associations,4.5645,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Northstar,Perceived uniqueness,rating,Associations,4.1195,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Northstar,Trust,rating,Relationship,5.1258,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Northstar,Perceived quality,rating,Relationship,2.4923,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Northstar,Attachment construct,construct,Relationship,4.4706,0.88544,0.2,MeasureSignal evidence pack MS-DEMO-001; synthetic demonstration only
W1-0001,2025 Q3,Light category buyers,Northstar,Reputation,rating,Relationship,3.6948,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,Awareness,binary,Funnel,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,Familiarity,rating,Funnel,4.3741,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,Consideration,binary,Funnel,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,Recent usage,binary,Funnel,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,First-choice loyalty,binary,Funnel,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,Innovative attribute ownership,binary,Associations,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,Association favourability,rating,Associations,2.72,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,Perceived uniqueness,rating,Associations,2.0675,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,Trust,rating,Relationship,2.184,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,Perceived quality,rating,Relationship,4.4808,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Harbor,Attachment construct,construct,Relationship,2.5775,0.88544,0.2,MeasureSignal evidence pack MS-DEMO-001; synthetic demonstration only
W1-0001,2025 Q3,Light category buyers,Harbor,Reputation,rating,Relationship,4.1522,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,Awareness,binary,Funnel,1.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,Familiarity,rating,Funnel,2.6537,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,Consideration,binary,Funnel,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,Recent usage,binary,Funnel,0.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,First-choice loyalty,binary,Funnel,1.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,Innovative attribute ownership,binary,Associations,1.0,0.88544,0.03,Single tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,Association favourability,rating,Associations,4.9643,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,Perceived uniqueness,rating,Associations,3.8934,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,Trust,rating,Relationship,2.1196,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,Perceived quality,rating,Relationship,1.5652,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0001,2025 Q3,Light category buyers,Lumen,Attachment construct,construct,Relationship,3.5549,0.88544,0.2,MeasureSignal evidence pack MS-DEMO-001; synthetic demonstration only
W1-0001,2025 Q3,Light category buyers,Lumen,Reputation,rating,Relationship,4.1779,0.88544,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,Awareness,binary,Funnel,1.0,0.86774,0.03,Single tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,Familiarity,rating,Funnel,6.4505,0.86774,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,Consideration,binary,Funnel,1.0,0.86774,0.03,Single tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,Recent usage,binary,Funnel,1.0,0.86774,0.03,Single tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,First-choice loyalty,binary,Funnel,0.0,0.86774,0.03,Single tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,Innovative attribute ownership,binary,Associations,1.0,0.86774,0.03,Single tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,Association favourability,rating,Associations,5.055,0.86774,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,Perceived uniqueness,rating,Associations,4.0807,0.86774,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,Trust,rating,Relationship,4.3916,0.86774,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,Perceived quality,rating,Relationship,3.3133,0.86774,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Northstar,Attachment construct,construct,Relationship,5.9715,0.86774,0.2,MeasureSignal evidence pack MS-DEMO-001; synthetic demonstration only
W1-0002,2025 Q3,Core category buyers,Northstar,Reputation,rating,Relationship,4.5336,0.86774,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Harbor,Awareness,binary,Funnel,0.0,0.86774,0.03,Single tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Harbor,Familiarity,rating,Funnel,3.2142,0.86774,0.2,Single 1–7 tracker item; fictional wording owned by the example author
W1-0002,2025 Q3,Core category buyers,Harbor,Consideration,binary,Funnel,1.0,0.86774,0.03,Single tracker item; fictional wording owned by the example author
